train_size,q_error_mean,q_error_median,q_error_90_percentile
1,1.1041610234028543,1.074109837040797,1.1819363522215631
2,1.0687974923661958,1.0269468201241132,1.113467138399732
5,1.0195752324478728,1.0130420396155961,1.0393366073532477
10,1.0122435690413432,1.0089742678551414,1.0247909089358727
20,1.011560112641174,1.010569115832694,1.0215344851947437
40,1.0177064852733206,1.016190664579608,1.0325352565255241
60,1.0111433338221565,1.0097424187361077,1.0235442362841238
80,1.0124039261418698,1.0105834987441726,1.0232908979676094
100,1.0148327259981957,1.0119999202387573,1.0287220015319647
