train_size,q_error_mean,q_error_median,q_error_90_percentile
1,1.2864859652337315,1.17698869959511,1.6237701101533948
2,1.0664896223995655,1.067008765398969,1.1029765409604004
5,1.0686910167084958,1.0654379015372784,1.1113493361902047
10,1.0424826759274464,1.0348615269853445,1.0928861784802366
20,1.0614307224088482,1.0613238534252118,1.099887172680369
40,1.0528981066263652,1.0521279668281387,1.0840235483792564
60,1.0632823743934001,1.065509280414539,1.1019736844659667
80,1.068227892126627,1.068488489923848,1.102847327248639
100,1.0355880665028916,1.0342318060987288,1.0663260531316143
