train_size,q_error_mean,q_error_median,q_error_90_percentile
1,1.2672202658410032,1.1696767841544649,1.5667483104958215
2,1.0642616124916646,1.0679268552004029,1.0985175670210976
5,1.0660743026768755,1.0629334256335423,1.1182336468070058
10,1.0428117975477558,1.0329008757092688,1.0948930841777955
20,1.0520636577300675,1.0524773421480198,1.0884975353448934
40,1.0423133469977532,1.040119161080005,1.068894415458582
60,1.0515402768231537,1.0507455205783631,1.0879112370936679
80,1.0453646240494086,1.0427737226518166,1.0800942082594367
100,1.0348976557681173,1.0302681086768986,1.0682644555506646
