train_size,q_error_mean,q_error_median,q_error_90_percentile
1,1.2506189219509176,1.1669797527312484,1.508670970678849
2,1.067495408319233,1.0664490504499513,1.1119491093659133
5,1.067855973640837,1.0595732686895556,1.129321095279167
10,1.0486496783999972,1.0386937246959802,1.0967693750447043
20,1.046302648307074,1.0450816585584652,1.0866770165870916
40,1.0388847318552348,1.0353760427382799,1.0656539126738074
60,1.045129291113461,1.043033374167468,1.082734239967966
80,1.035219834642079,1.0328664699166175,1.0668263008525491
100,1.0402688564485811,1.0338402609261301,1.0734646209973204
