train_size,q_error_mean,q_error_median,q_error_90_percentile
2,1.3831447966183745,1.2463287607014633,1.8331863250970548
4,1.2904893144725857,1.241256150843519,1.7504916010970957
6,1.4060703339499763,1.2146814336523872,2.146578276560109
8,1.397703783519315,1.278064079958883,1.6322740219779361
10,1.2642360638637962,1.207576891391765,1.4582532540066349
20,1.197283059346628,1.1262774806375018,1.450532055532937
40,1.171540772641057,1.1161475800787166,1.3447976412659837
80,1.122691345702349,1.077274928295513,1.2184593923261724
