tablerows,tablesizekb,selectivity,tuplewidth,attrInPred,runtime,operator
4000000,256000,0.25,16,4,231761,branch
4000000,256000,0.25,16,8,259733,branch
4000000,256000,0.25,16,16,321400,branch
4000000,256000,0.3,16,1,220403,branch
4000000,256000,0.3,16,2,231885,branch
4000000,256000,0.3,16,4,237404,branch
4000000,256000,0.3,16,8,265195,branch
4000000,256000,0.3,16,16,325969,branch
4000000,256000,0.35,16,1,225301,branch
4000000,256000,0.35,16,2,238322,branch
4000000,256000,0.35,16,4,242820,branch
4000000,256000,0.35,16,8,270839,branch
4000000,256000,0.35,16,16,331941,branch
4000000,256000,0.4,16,1,230542,branch
4000000,256000,0.4,16,2,243562,branch
4000000,256000,0.4,16,4,248519,branch
4000000,256000,0.4,16,8,276902,branch
4000000,256000,0.4,16,16,337467,branch
4000000,256000,0.45,16,1,235147,branch
4000000,256000,0.45,16,2,249424,branch
4000000,256000,0.45,16,4,254733,branch
4000000,256000,0.45,16,8,282888,branch
4000000,256000,0.45,16,16,343725,branch
4000000,256000,0.5,16,1,238388,branch
4000000,256000,0.5,16,2,252354,branch
4000000,256000,0.5,16,4,258898,branch
4000000,256000,0.5,16,8,286613,branch
4000000,256000,0.5,16,16,347461,branch
4000000,256000,0.55,16,1,240026,branch
4000000,256000,0.55,16,2,254703,branch
4000000,256000,0.55,16,4,259932,branch
4000000,256000,0.55,16,8,286813,branch
4000000,256000,0.55,16,16,350085,branch
4000000,256000,0.6,16,1,240000,branch
4000000,256000,0.6,16,2,255350,branch
4000000,256000,0.6,16,4,261102,branch
4000000,256000,0.6,16,8,287244,branch
4000000,256000,0.6,16,16,350733,branch
4000000,256000,0.65,16,1,240526,branch
4000000,256000,0.65,16,2,254530,branch
4000000,256000,0.65,16,4,261847,branch
4000000,256000,0.65,16,8,287794,branch
4000000,256000,0.65,16,16,351371,branch
4000000,256000,0.7,16,1,240798,branch
4000000,256000,0.7,16,2,254457,branch
4000000,256000,0.7,16,4,262260,branch
4000000,256000,0.7,16,8,288287,branch
4000000,256000,0.7,16,16,352538,branch
4000000,256000,0.75,16,1,241703,branch
4000000,256000,0.75,16,2,253839,branch
4000000,256000,0.75,16,4,262704,branch
4000000,256000,0.75,16,8,289600,branch
4000000,256000,0.75,16,16,352726,branch
4000000,256000,0.8,16,1,242253,branch
4000000,256000,0.8,16,2,253152,branch
4000000,256000,0.8,16,4,263085,branch
4000000,256000,0.8,16,8,290053,branch
4000000,256000,0.8,16,16,353360,branch
4000000,256000,0.85,16,1,243553,branch
4000000,256000,0.85,16,2,254168,branch
4000000,256000,0.85,16,4,264719,branch
4000000,256000,0.85,16,8,291622,branch
4000000,256000,0.85,16,16,354457,branch
4000000,256000,0.9,16,1,245464,branch
4000000,256000,0.9,16,2,253373,branch
4000000,256000,0.9,16,4,265309,branch
4000000,256000,0.9,16,8,292261,branch
4000000,256000,0.9,16,16,355483,branch
4000000,256000,0.95,16,1,248020,branch
4000000,256000,0.95,16,2,253519,branch
4000000,256000,0.95,16,4,266520,branch
4000000,256000,0.95,16,8,293453,branch
4000000,256000,0.95,16,16,356292,branch
4000000,256000,1,16,1,252467,branch
4000000,256000,1,16,2,256787,branch
4000000,256000,1,16,4,266097,branch
4000000,256000,1,16,8,293201,branch
4000000,256000,1,16,16,357193,branch
128000000,512000,0,1,1,1001347,branch
128000000,512000,0.05,1,1,1187352,branch
128000000,512000,0.1,1,1,1348787,branch
128000000,512000,0.15,1,1,1515897,branch
128000000,512000,0.2,1,1,1712837,branch
128000000,512000,0.25,1,1,1857389,branch
128000000,512000,0.3,1,1,2057793,branch
128000000,512000,0.35,1,1,2333122,branch
128000000,512000,0.4,1,1,2354225,branch
128000000,512000,0.45,1,1,2498366,branch
128000000,512000,0.5,1,1,2599472,branch
128000000,512000,0.55,1,1,2657173,branch
128000000,512000,0.6,1,1,2682023,branch
128000000,512000,0.65,1,1,2645739,branch
128000000,512000,0.7,1,1,2626073,branch
128000000,512000,0.75,1,1,2614467,branch
128000000,512000,0.8,1,1,2609723,branch
128000000,512000,0.85,1,1,2612974,branch
128000000,512000,0.9,1,1,2618920,branch
128000000,512000,0.95,1,1,2621528,branch
128000000,512000,1,1,1,2636209,branch
16000000,512000,0,8,1,401191,branch
16000000,512000,0,8,2,443228,branch
16000000,512000,0,8,4,481917,branch
16000000,512000,0,8,8,596742,branch
16000000,512000,0.05,8,1,426593,branch
16000000,512000,0.05,8,2,468064,branch
16000000,512000,0.05,8,4,505856,branch
16000000,512000,0.05,8,8,625044,branch
16000000,512000,0.1,8,1,443945,branch
16000000,512000,0.1,8,2,488395,branch
16000000,512000,0.1,8,4,526266,branch
16000000,512000,0.1,8,8,645898,branch
16000000,512000,0.15,8,1,485596,branch
16000000,512000,0.15,8,2,537629,branch
16000000,512000,0.15,8,4,551834,branch
16000000,512000,0.15,8,8,667404,branch
16000000,512000,0.2,8,1,485211,branch
16000000,512000,0.2,8,2,531066,branch
16000000,512000,0.2,8,4,567308,branch
16000000,512000,0.2,8,8,699138,branch
16000000,512000,0.25,8,1,506485,branch
16000000,512000,0.25,8,2,552252,branch
16000000,512000,0.25,8,4,587951,branch
16000000,512000,0.25,8,8,707699,branch
16000000,512000,0.3,8,1,527785,branch
16000000,512000,0.3,8,2,577070,branch
16000000,512000,0.3,8,4,610022,branch
16000000,512000,0.3,8,8,730386,branch
16000000,512000,0.35,8,1,548204,branch
16000000,512000,0.35,8,2,596805,branch
16000000,512000,0.35,8,4,632031,branch
16000000,512000,0.35,8,8,752776,branch
16000000,512000,0.4,8,1,568688,branch
16000000,512000,0.4,8,2,618978,branch
16000000,512000,0.4,8,4,655206,branch
16000000,512000,0.4,8,8,776168,branch
16000000,512000,0.45,8,1,586086,branch
16000000,512000,0.45,8,2,638323,branch
16000000,512000,0.45,8,4,678637,branch
16000000,512000,0.45,8,8,800738,branch
16000000,512000,0.5,8,1,598646,branch
16000000,512000,0.5,8,2,654636,branch
16000000,512000,0.5,8,4,691671,branch
16000000,512000,0.5,8,8,812889,branch
16000000,512000,0.55,8,1,604763,branch
16000000,512000,0.55,8,2,661191,branch
16000000,512000,0.55,8,4,699887,branch
16000000,512000,0.55,8,8,820338,branch
16000000,512000,0.6,8,1,606763,branch
16000000,512000,0.6,8,2,664951,branch
16000000,512000,0.6,8,4,705975,branch
16000000,512000,0.6,8,8,823898,branch
16000000,512000,0.65,8,1,605024,branch
16000000,512000,0.65,8,2,665172,branch
16000000,512000,0.65,8,4,705214,branch
16000000,512000,0.65,8,8,822612,branch
16000000,512000,0.7,8,1,604430,branch
16000000,512000,0.7,8,2,661924,branch
16000000,512000,0.7,8,4,713115,branch
16000000,512000,0.7,8,8,823059,branch
16000000,512000,0.75,8,1,602895,branch
16000000,512000,0.75,8,2,657556,branch
16000000,512000,0.75,8,4,706710,branch
16000000,512000,0.75,8,8,822356,branch
16000000,512000,0.8,8,1,604213,branch
16000000,512000,0.8,8,2,653149,branch
16000000,512000,0.8,8,4,707674,branch
16000000,512000,0.8,8,8,823223,branch
16000000,512000,0.85,8,1,605142,branch
16000000,512000,0.85,8,2,649641,branch
16000000,512000,0.85,8,4,709182,branch
16000000,512000,0.85,8,8,824104,branch
16000000,512000,0.9,8,1,652885,branch
16000000,512000,0.9,8,2,647337,branch
16000000,512000,0.9,8,4,709893,branch
16000000,512000,0.9,8,8,825012,branch
16000000,512000,0.95,8,1,609679,branch
16000000,512000,0.95,8,2,650653,branch
16000000,512000,0.95,8,4,712714,branch
16000000,512000,0.95,8,8,826803,branch
16000000,512000,1,8,1,612417,branch
16000000,512000,1,8,2,651909,branch
16000000,512000,1,8,4,713204,branch
16000000,512000,1,8,8,828182,branch
8000000,512000,0,16,1,370846,branch
8000000,512000,0,16,2,391158,branch
8000000,512000,0,16,4,406343,branch
8000000,512000,0,16,8,463680,branch
8000000,512000,0,16,16,581983,branch
8000000,512000,0.05,16,1,385691,branch
8000000,512000,0.05,16,2,406937,branch
8000000,512000,0.05,16,4,421611,branch
8000000,512000,0.05,16,8,477389,branch
8000000,512000,0.05,16,16,601342,branch
8000000,512000,0.1,16,1,395884,branch
8000000,512000,0.1,16,2,417041,branch
8000000,512000,0.1,16,4,431633,branch
8000000,512000,0.1,16,8,497717,branch
8000000,512000,0.1,16,16,610422,branch
8000000,512000,0.15,16,1,406801,branch
8000000,512000,0.15,16,2,427893,branch
8000000,512000,0.15,16,4,441856,branch
8000000,512000,0.15,16,8,497986,branch
8000000,512000,0.15,16,16,623573,branch
8000000,512000,0.2,16,1,418552,branch
8000000,512000,0.2,16,2,440434,branch
8000000,512000,0.2,16,4,451613,branch
8000000,512000,0.2,16,8,509379,branch
8000000,512000,0.2,16,16,630298,branch
8000000,512000,0.25,16,1,429307,branch
8000000,512000,0.25,16,2,451934,branch
8000000,512000,0.25,16,4,463467,branch
8000000,512000,0.25,16,8,518792,branch
8000000,512000,0.25,16,16,641466,branch
8000000,512000,0.3,16,1,440546,branch
8000000,512000,0.3,16,2,463774,branch
8000000,512000,0.3,16,4,473573,branch
8000000,512000,0.3,16,8,536147,branch
8000000,512000,0.3,16,16,652978,branch
8000000,512000,0.35,16,1,450842,branch
8000000,512000,0.35,16,2,475414,branch
8000000,512000,0.35,16,4,484965,branch
8000000,512000,0.35,16,8,541977,branch
8000000,512000,0.35,16,16,663743,branch
8000000,512000,0.4,16,1,461456,branch
8000000,512000,0.4,16,2,486230,branch
8000000,512000,0.4,16,4,497611,branch
8000000,512000,0.4,16,8,553134,branch
8000000,512000,0.4,16,16,675059,branch
8000000,512000,0.45,16,1,470076,branch
8000000,512000,0.45,16,2,495977,branch
8000000,512000,0.45,16,4,506635,branch
8000000,512000,0.45,16,8,563219,branch
8000000,512000,0.45,16,16,686110,branch
8000000,512000,0.5,16,1,479371,branch
8000000,512000,0.5,16,2,506739,branch
8000000,512000,0.5,16,4,516668,branch
8000000,512000,0.5,16,8,574569,branch
8000000,512000,0.5,16,16,694996,branch
8000000,512000,0.55,16,1,481250,branch
8000000,512000,0.55,16,2,510220,branch
8000000,512000,0.55,16,4,521404,branch
8000000,512000,0.55,16,8,577624,branch
8000000,512000,0.55,16,16,701117,branch
8000000,512000,0.6,16,1,479387,branch
8000000,512000,0.6,16,2,508905,branch
8000000,512000,0.6,16,4,521199,branch
8000000,512000,0.6,16,8,576983,branch
8000000,512000,0.6,16,16,700149,branch
8000000,512000,0.65,16,1,504306,branch
8000000,512000,0.65,16,2,557058,branch
8000000,512000,0.65,16,4,543656,branch
8000000,512000,0.65,16,8,577360,branch
8000000,512000,0.65,16,16,701922,branch
8000000,512000,0.7,16,1,480269,branch
8000000,512000,0.7,16,2,507573,branch
8000000,512000,0.7,16,4,524172,branch
8000000,512000,0.7,16,8,582014,branch
8000000,512000,0.7,16,16,706095,branch
8000000,512000,0.75,16,1,485811,branch
8000000,512000,0.75,16,2,511732,branch
8000000,512000,0.75,16,4,528340,branch
8000000,512000,0.75,16,8,586470,branch
8000000,512000,0.75,16,16,710696,branch
8000000,512000,0.8,16,1,484083,branch
8000000,512000,0.8,16,2,504536,branch
8000000,512000,0.8,16,4,533105,branch
8000000,512000,0.8,16,8,586260,branch
8000000,512000,0.8,16,16,709514,branch
8000000,512000,0.85,16,1,487691,branch
8000000,512000,0.85,16,2,504259,branch
8000000,512000,0.85,16,4,528506,branch
8000000,512000,0.85,16,8,580804,branch
8000000,512000,0.85,16,16,707661,branch
8000000,512000,0.9,16,1,489719,branch
8000000,512000,0.9,16,2,504362,branch
8000000,512000,0.9,16,4,531487,branch
8000000,512000,0.9,16,8,582348,branch
8000000,512000,0.9,16,16,709473,branch
8000000,512000,0.95,16,1,493838,branch
8000000,512000,0.95,16,2,505122,branch
8000000,512000,0.95,16,4,530893,branch
8000000,512000,0.95,16,8,583351,branch
8000000,512000,0.95,16,16,711607,branch
8000000,512000,1,16,1,507215,branch
8000000,512000,1,16,2,517306,branch
8000000,512000,1,16,4,531102,branch
8000000,512000,1,16,8,584854,branch
8000000,512000,1,16,16,713446,branch
256000000,1024000,0,1,1,2002179,branch
256000000,1024000,0.05,1,1,2375249,branch
256000000,1024000,0.1,1,1,2700406,branch
256000000,1024000,0.15,1,1,3061188,branch
256000000,1024000,0.2,1,1,3380097,branch
256000000,1024000,0.25,1,1,3715757,branch
256000000,1024000,0.3,1,1,4054404,branch
256000000,1024000,0.35,1,1,4402952,branch
256000000,1024000,0.4,1,1,4732061,branch
256000000,1024000,0.45,1,1,5010671,branch
256000000,1024000,0.5,1,1,5196014,branch
256000000,1024000,0.55,1,1,5304083,branch
256000000,1024000,0.6,1,1,5351073,branch
256000000,1024000,0.65,1,1,5289903,branch
256000000,1024000,0.7,1,1,5257377,branch
256000000,1024000,0.75,1,1,5265946,branch
256000000,1024000,0.8,1,1,5220019,branch
256000000,1024000,0.85,1,1,5224333,branch
256000000,1024000,0.9,1,1,5232244,branch
256000000,1024000,0.95,1,1,5245379,branch
256000000,1024000,1,1,1,5257228,branch
32000000,1024000,0,8,1,792790,branch
32000000,1024000,0,8,2,886117,branch
32000000,1024000,0,8,4,962088,branch
32000000,1024000,0,8,8,1192051,branch
32000000,1024000,0.05,8,1,850929,branch
32000000,1024000,0.05,8,2,934573,branch
32000000,1024000,0.05,8,4,1013319,branch
32000000,1024000,0.05,8,8,1248963,branch
32000000,1024000,0.1,8,1,889796,branch
32000000,1024000,0.1,8,2,974990,branch
32000000,1024000,0.1,8,4,1051977,branch
32000000,1024000,0.1,8,8,1335696,branch
32000000,1024000,0.15,8,1,928646,branch
32000000,1024000,0.15,8,2,1017818,branch
32000000,1024000,0.15,8,4,1092986,branch
32000000,1024000,0.15,8,8,1330291,branch
32000000,1024000,0.2,8,1,971089,branch
32000000,1024000,0.2,8,2,1060339,branch
32000000,1024000,0.2,8,4,1133033,branch
32000000,1024000,0.2,8,8,1372686,branch
32000000,1024000,0.25,8,1,1013844,branch
32000000,1024000,0.25,8,2,1103883,branch
32000000,1024000,0.25,8,4,1175466,branch
32000000,1024000,0.25,8,8,1413812,branch
32000000,1024000,0.3,8,1,1060028,branch
32000000,1024000,0.3,8,2,1155588,branch
32000000,1024000,0.3,8,4,1228668,branch
32000000,1024000,0.3,8,8,1469389,branch
32000000,1024000,0.35,8,1,1102043,branch
32000000,1024000,0.35,8,2,1200662,branch
32000000,1024000,0.35,8,4,1283852,branch
32000000,1024000,0.35,8,8,1527738,branch
32000000,1024000,0.4,8,1,1140181,branch
32000000,1024000,0.4,8,2,1243181,branch
32000000,1024000,0.4,8,4,1317181,branch
32000000,1024000,0.4,8,8,1560194,branch
32000000,1024000,0.45,8,1,1172358,branch
32000000,1024000,0.45,8,2,1275180,branch
32000000,1024000,0.45,8,4,1350394,branch
32000000,1024000,0.45,8,8,1591029,branch
32000000,1024000,0.5,8,1,1212744,branch
32000000,1024000,0.5,8,2,1314437,branch
32000000,1024000,0.5,8,4,1396342,branch
32000000,1024000,0.5,8,8,1632458,branch
32000000,1024000,0.55,8,1,1209479,branch
32000000,1024000,0.55,8,2,1323657,branch
32000000,1024000,0.55,8,4,1401892,branch
32000000,1024000,0.55,8,8,1642773,branch
32000000,1024000,0.6,8,1,1212510,branch
32000000,1024000,0.6,8,2,1333223,branch
32000000,1024000,0.6,8,4,1407516,branch
32000000,1024000,0.6,8,8,1640294,branch
32000000,1024000,0.65,8,1,1211236,branch
32000000,1024000,0.65,8,2,1331577,branch
32000000,1024000,0.65,8,4,1409483,branch
32000000,1024000,0.65,8,8,1640520,branch
32000000,1024000,0.7,8,1,1232963,branch
32000000,1024000,0.7,8,2,1326119,branch
32000000,1024000,0.7,8,4,1417718,branch
32000000,1024000,0.7,8,8,1648617,branch
32000000,1024000,0.75,8,1,1207874,branch
32000000,1024000,0.75,8,2,1317466,branch
32000000,1024000,0.75,8,4,1413650,branch
32000000,1024000,0.75,8,8,1642569,branch
32000000,1024000,0.8,8,1,1208094,branch
32000000,1024000,0.8,8,2,1306811,branch
32000000,1024000,0.8,8,4,1414892,branch
32000000,1024000,0.8,8,8,1645416,branch
32000000,1024000,0.85,8,1,1210895,branch
32000000,1024000,0.85,8,2,1301795,branch
32000000,1024000,0.85,8,4,1418262,branch
32000000,1024000,0.85,8,8,1647050,branch
32000000,1024000,0.9,8,1,1214139,branch
32000000,1024000,0.9,8,2,1294653,branch
32000000,1024000,0.9,8,4,1419949,branch
32000000,1024000,0.9,8,8,1651758,branch
32000000,1024000,0.95,8,1,1221660,branch
32000000,1024000,0.95,8,2,1297133,branch
32000000,1024000,0.95,8,4,1423947,branch
32000000,1024000,0.95,8,8,1650666,branch
32000000,1024000,1,8,1,1224757,branch
32000000,1024000,1,8,2,1286516,branch
32000000,1024000,1,8,4,1425208,branch
32000000,1024000,1,8,8,1652323,branch
16000000,1024000,0,16,1,739695,branch
16000000,1024000,0,16,2,785592,branch
16000000,1024000,0,16,4,819537,branch
16000000,1024000,0,16,8,927264,branch
16000000,1024000,0,16,16,1166435,branch
16000000,1024000,0.05,16,1,790203,branch
16000000,1024000,0.05,16,2,833695,branch
16000000,1024000,0.05,16,4,845853,branch
16000000,1024000,0.05,16,8,958763,branch
16000000,1024000,0.05,16,16,1204977,branch
16000000,1024000,0.1,16,1,794207,branch
16000000,1024000,0.1,16,2,836364,branch
16000000,1024000,0.1,16,4,865845,branch
16000000,1024000,0.1,16,8,978129,branch
16000000,1024000,0.1,16,16,1229133,branch
16000000,1024000,0.15,16,1,816096,branch
16000000,1024000,0.15,16,2,861581,branch
16000000,1024000,0.15,16,4,885506,branch
16000000,1024000,0.15,16,8,999898,branch
16000000,1024000,0.15,16,16,1244262,branch
16000000,1024000,0.2,16,1,840428,branch
